iter	Passed	Remaining
757	14759	4712
758	14776	4692
759	14794	4671
760	14816	4653
761	14838	4634
762	14856	4614
763	14873	4594
764	14891	4574
765	14908	4554
766	14925	4534
767	14945	4514
768	14962	4494
769	14979	4474
770	14996	4454
771	15012	4433
772	15031	4414
773	15051	4394
774	15070	4375
775	15088	4355
776	15105	4335
777	15123	4315
778	15141	4295
779	15158	4275
780	15174	4255
781	15190	4234
782	15211	4215
783	15229	4195
784	15247	4176
785	15289	4162
786	15336	4150
787	15358	4131
788	15375	4111
789	15394	4092
790	15412	4072
791	15431	4052
792	15451	4033
793	15472	4014
794	15490	3994
795	15511	3975
796	15529	3955
797	15547	3935
798	15566	3916
799	15586	3896
800	15605	3877
801	15626	3857
802	15646	3838
803	15665	3818
804	15686	3799
805	15703	3779
806	15719	3759
807	15740	3740
808	15759	3720
809	15779	3701
810	15799	3682
811	15818	3662
812	15836	3642
813	15857	3623
814	15878	3604
815	15898	3584
816	15917	3565
817	15937	3545
818	15958	3526
819	15977	3507
820	15998	3488
821	16016	3468
822	16035	3448
823	16053	3428
824	16075	3409
825	16094	3390
826	16116	3371
827	16134	3351
828	16151	3331
829	16170	3312
830	16190	3292
831	16210	3273
832	16229	3253
833	16247	3233
834	16264	3213
835	16282	3194
836	16301	3174
837	16319	3154
838	16340	3135
839	16359	3116
840	16378	3096
841	16394	3076
842	16413	3056
843	16431	3037
844	16448	3017
845	16464	2997
846	16481	2977
847	16498	2957
848	16522	2938
849	16541	2919
850	16560	2899
851	16579	2879
852	16596	2860
853	16613	2840
854	16635	2821
855	16653	2801
856	16671	2781
857	16689	2762
858	16708	2742
859	16725	2722
860	16746	2703
861	16763	2683
862	16780	2663
863	16798	2644
864	16823	2625
865	16848	2607
866	16869	2587
867	16895	2569
868	16912	2549
869	16930	2529
870	16953	2510
871	16972	2491
872	16991	2471
873	17012	2452
874	17033	2433
875	17052	2413
876	17073	2394
877	17090	2374
878	17106	2354
879	17123	2334
880	17140	2315
881	17156	2295
882	17172	2275
883	17192	2256
884	17210	2236
885	17227	2216
886	17245	2196
887	17263	2177
888	17285	2158
889	17306	2138
890	17322	2119
891	17339	2099
892	17361	2080
893	17380	2060
894	17400	2041
895	17422	2022
896	17439	2002
897	17459	1983
898	17478	1963
899	17496	1944
900	17520	1925
901	17541	1905
902	17559	1886
903	17582	1867
904	17601	1847
905	17620	1828
906	17639	1808
907	17659	1789
908	17678	1769
909	17696	1750
910	17713	1730
911	17732	1710
912	17750	1691
913	17770	1672
914	17791	1652
915	17810	1633
916	17827	1613
917	17845	1594
918	17863	1574
919	17885	1555
920	17902	1535
921	17921	1516
922	17939	1496
923	17957	1477
924	17975	1457
925	17998	1438
926	18015	1418
927	18032	1399
928	18051	1379
929	18069	1360
930	18089	1340
931	18112	1321
932	18130	1302
933	18154	1282
934	18173	1263
935	18191	1243
936	18208	1224
937	18228	1204
938	18246	1185
939	18264	1165
940	18282	1146
941	18299	1126
942	18318	1107
943	18339	1087
944	18357	1068
945	18378	1049
946	18396	1029
947	18413	1010
948	18431	990
949	18453	971
950	18472	951
951	18492	932
952	18510	912
953	18525	893
954	18541	873
955	18561	854
956	18585	835
957	18604	815
958	18623	796
959	18641	776
960	18657	757
961	18677	737
962	18694	718
963	18710	698
964	18728	679
965	18745	659
966	18764	640
967	18782	620
968	18801	601
969	18818	582
970	18837	562
971	18856	543
972	18875	523
973	18897	504
974	18919	485
975	18953	466
976	18972	446
977	18992	427
978	19010	407
979	19029	388
980	19047	368
981	19066	349
982	19085	330
983	19102	310
984	19121	291
985	19139	271
986	19158	252
987	19175	232
988	19193	213
989	19212	194
990	19233	174
991	19255	155
992	19274	135
993	19292	116
994	19310	97
995	19329	77
996	19349	58
997	19367	38
998	19384	19
999	19401	0
